Sampling Feature UUID: a8098bc0-141d-4882-b251-bedc0219fe1b
Date and Time in UTC+0
Result UUID: ,36f4f6a1-2f36-4083-b8a8-94f50acdd066,55f349b7-3491-40de-a828-9abb31e9f20d,fbee68c8-5463-4a38-98a8-f985fba923e8,be1d621e-95d4-447e-bee7-97d4102c9f2e
2023-11-06 21:02:35,228,2.8,-0.28,80
2023-11-06 22:02:35,229,2.93,0.8,71
2023-11-06 23:02:35,230,2.59,-1.36,79
2023-11-07 00:02:35,231,2.56,-1.97,80
2023-11-07 01:02:35,232,2.9,-0.25,73
2023-11-07 02:02:35,233,2.85,1.53,66
2023-11-07 03:02:35,234,2.96,5.04,52
2023-11-07 04:02:35,235,2.52,4.02,54
2023-11-07 05:02:35,236,2.8,9.39,42
2023-11-07 06:02:35,237,2.73,7.71,41
2023-11-07 07:02:35,238,2.77,5.0,47
2023-11-07 08:02:35,239,2.71,6.0,46
2023-11-07 10:02:35,241,2.65,5.49,50
2023-11-07 11:02:35,242,2.49,3.75,55
2023-11-07 12:02:35,243,2.77,2.17,63
2023-11-07 13:02:35,244,2.8,0.3,68
2023-11-07 14:02:35,245,2.78,1.96,62
2023-11-07 15:02:35,246,2.71,0.83,67
2023-11-07 16:02:35,247,2.6,1.77,65
2023-11-07 17:02:35,248,2.66,1.41,67
2023-11-07 18:02:35,249,2.68,0.94,77
2023-11-07 19:02:35,250,2.78,-1.56,89
2023-11-07 20:02:35,251,2.68,-2.03,89
2023-11-07 21:02:35,252,2.81,-2.44,88
2023-11-07 22:02:35,253,2.95,-1.85,87
2023-11-07 23:02:35,254,2.82,-1.04,85
2023-11-08 00:02:35,255,2.74,-1.32,86
2023-11-08 01:02:35,256,2.93,-1.28,84
2023-11-08 02:02:35,257,2.81,-2.89,85
2023-11-08 03:02:35,258,2.86,-0.16,78
2023-11-08 04:02:35,259,3.02,2.89,57
2023-11-08 05:02:35,260,2.93,6.25,45
2023-11-08 06:02:35,261,2.75,6.91,36
2023-11-08 07:02:35,262,2.67,8.97,33
2023-11-08 08:02:35,263,2.71,8.64,31
2023-11-08 09:02:35,264,2.72,3.92,42
2023-11-08 10:02:35,265,2.71,8.39,35
2023-11-08 11:02:35,266,2.81,0.85,52
2023-11-08 12:02:35,267,2.83,0.06,56
2023-11-08 13:02:35,268,2.77,-1.96,63
2023-11-08 14:02:35,269,2.51,-1.77,64
2023-11-08 15:02:35,270,2.6,-1.87,63
2023-11-08 16:02:35,271,2.86,-3.7,68
2023-11-08 17:02:35,272,2.69,-4.54,70
